Organization_Name,Organization_Name_URL,Founded_Date,Founders,Number_of_Employees,Description,Industries,Industry_Groups,Headquarters_Location,Headquarters_Regions,Postal_Code,Diversity_Spotlight,Estimated_Revenue_Range,Operating_Status,Funding_Status,Number_of_Funding_Rounds,Last_Funding_Amount,Last_Funding_Amount_Currency,Last_Funding_Date,Last_Funding_Type,Total_Funding_Amount,Total_Funding_Amount_Currency,Number_of_Lead_Investors,Top_5_Investors,Last_Leadership_Hiring_Date,Last_Layoff_Mention_Date,Trend_Score_7_Days,Trend_Score_30_Days,Trend_Score_90_Days,Growth_Trend,Active_Hiring,Job_Postings_on_Linkedin,Job_postings_on_official_website,Additional_Comment
Conifers.Ai,https://www.crunchbase.com/organization/conifers-ai,1/1/2024,"Alon Yotvat, Mark Kurman, Tom Findling",11-50,Conifers has assembled a team of skilled security and data science professionals who embody our beliefs and commitment.,Artificial Intelligence (AI),"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",,,,Active,,1,"$25,000,000.00",USD,1/29/2025,Venture - Series Unknown,"$25,000,000.00",USD,,"SYN Ventures, Picus Capital, Tom Findling, Alon Yotvat, Mark Kurman",4/25/2025,,-0.6,-1.8,2.8,120.00%,Y,7,,
Bland AI,https://www.crunchbase.com/organization/bland-ai,1/1/2023,"Isaiah N. Granet, Sobhan Nejad",11-50,Bland AI provides a platform for realistic AI phone call automation.,"Artificial Intelligence (AI), Infrastructure, Machine Learning, Telecommunications","Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,3,"$40,000,000.00",USD,1/29/2025,Series B,"$56,000,000.00",USD,2,"Emergence Capital, Y Combinator, Team Ignite Ventures, Upfront Ventures, Scale Venture Partners",,,0.0,-0.4,-0.1,200.00%,Y,7,,
Salient,https://www.crunchbase.com/organization/salient,1/1/2023,"Ari Malik, Mukund Tibrewala",11-50,Salient is an AI-driven loan servicing platform built specifically for consumer finance and auto lending industries.,"Artificial Intelligence (AI), Automotive, Finance, Financial Services, Information Technology, Internet","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Internet Services, Science and Engineering, Software, Transportation","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,2,"$60,000,000.00",USD,7/28/2025,Series A,"$60,500,000.00",USD,2,"Andreessen Horowitz, Y Combinator, Matrix, Michael Ovitz",,,-1.0,-3.2,8.0,150.00%,Y,7,,
Standard Nuclear,https://www.crunchbase.com/organization/standard-nuclear,10/1/2024,,11-50,Standard Nuclear is a reactor-agnostic producer of TRISO nuclear fuel.,"Energy, Energy Efficiency, Nuclear","Energy, Science and Engineering, Sustainability","Oak Ridge, Tennessee, United States",Southern US,,,,Active,Early Stage Venture,2,"$42,000,000.00",USD,6/11/2025,Series A,"$46,500,000.00",USD,1,"Andreessen Horowitz, Washington Harbour Partners, Decisive Point, WELARA, Fundomo",,,-0.4,-2.7,-2.1,3600.00%,Y,7,,
Senpi,https://www.crunchbase.com/organization/senpi-7bf6,1/1/2025,,11-50,"Senpi is an on-chain AI assistant that acts as a mentor, advisor, and companion for crypto users exploring on-chain markets.","Artificial Intelligence (AI), Blockchain, Trading Platform","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Lending and Investments, Other, Science and Engineering, Software","Venice, California, United States","Greater Los Angeles Area, West Coast, Western US",90291,,,Active,Seed,1,"$4,000,000.00",USD,9/16/2025,Seed,"$4,000,000.00",USD,2,"Mana Ventures, Coinbase Ventures, Auros, Lemniscap, SuperLayer",,,6.0,9.9,9.9,900.00%,Y,7,,
Solve Intelligence,https://www.crunchbase.com/organization/solve-intelligence,6/2/2023,"Angus Parsonson, Chris Parsonson, Sanj Ahilan",11-50,Solve Intelligence is an artifical intelligence company that offers generative AI technology for writing patents.,"Artificial Intelligence (AI), Business Intelligence, Data Management","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",19904,,$1M to $10M,Active,Early Stage Venture,3,"$12,000,000.00",USD,4/9/2025,Series A,"$15,000,000.00",USD,2,"Y Combinator, Translink Capital, Amino Capital, The Twenty Minute VC, Team Ignite Ventures",,,0.2,0.7,0.0,100.00%,Y,7,,
Daisy,https://www.crunchbase.com/organization/daisy-ad2d,1/1/2023,Hagan Kappler,101-250,Daisy is helping individuals and families easily use and enjoy technology in their homes.,"Consumer, Home Decor, Service Industry, Space Travel","Other, Real Estate, Transportation","Costa Mesa, California, United States","Greater Los Angeles Area, West Coast, Western US",92626,,,Active,Late Stage Venture,4,"$15,000,000.00",USD,3/5/2025,Series C,"$33,000,000.00",USD,3,"Bullish, Goldcrest Capital, Burst Capital, Bungalow Capital Management, Andrew Spellman",,,-0.7,-3.0,-2.1,47.00%,Y,7,,
Coworker.ai,https://www.crunchbase.com/organization/coworker-ai,1/1/2024,"Alex Calder, Bradford Church",11-50,Coworker.ai is an AI platform designed to automate tasks and streamline workflows within businesses.,"Artificial Intelligence (AI), Generative AI","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94114,,,Active,Seed,1,"$13,000,000.00",USD,5/20/2025,Seed,"$13,000,000.00",USD,1,"Jeff Huber, Ramtin Naimi, Tim Young, Mallun Yen, Ken Hausman",,,0.5,0.0,-2.0,118.00%,Y,7,,
Radical AI,https://www.crunchbase.com/organization/radical-ai,1/1/2024,Joseph Krause,11-50,Radical AI is a technology startup focusing on changing materials science and advanced manufacturing through artificial intelligence.,"Advanced Materials, Artificial Intelligence (AI), Manufacturing","Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",,,,Active,Seed,1,"$55,000,000.00",USD,7/18/2025,Seed,"$55,000,000.00",USD,1,"noa, Eni, AlleyCorp, NVentures, Infinite Capital",,,-0.4,-3.6,9.9,42.00%,Y,7,,
Kincell Bio,https://www.crunchbase.com/organization/kincell-bio,1/1/2023,,11-50,Kincell Bio collaborates with cell therapy developers by using considerable scientific experience and industry understanding.,"Biopharma, Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","Gainesville, Florida, United States","East Coast, Southern US",32653,,,Active,,2,"$22,000,000.00",USD,5/15/2025,Venture - Series Unknown,"$58,000,000.00",USD,3,"NewSpring, Kineticos Life Sciences, Kineticos Ventures",5/15/2025,,-0.4,-0.5,-3.3,24.00%,Y,7,0,
Zania,https://www.crunchbase.com/organization/zania-47a5,6/1/2023,Shruti Gupta,11-50,"Fast, cost-effective, and effortless Risk & Compliance using AI agents","Artificial Intelligence (AI), Compliance, Cyber Security, Enterprise Software","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,"Southeast Asian Founded, Women Founded",,Active,Seed,1,"$2,000,000.00",USD,12/10/2024,Angel,"$2,000,000.00",USD,,,,,-0.1,0.0,2.6,40.00%,Y,8,,
Resolve.ai,https://www.crunchbase.com/organization/resolve-ai,1/1/2024,,11-50,"Resolve AI, a startup aiming to automate software operations.","Artificial Intelligence (AI), Developer Platform, Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Seed,1,"$35,000,000.00",USD,10/1/2024,Seed,"$35,000,000.00",USD,1,"Panos Madamopoulos - Moraris, Unusual Ventures, Greylock, Jeff Dean, Eric Glyman",,,0.0,-0.4,0.1,348.00%,Y,8,,
Agentio,https://www.crunchbase.com/organization/agentio,3/1/2023,"Arthur Leopold, Jonathan Meyers",11-50,Agentio is an advertising platform that connects marketers with creators to facilitate the buying and selling of sponsored content.,"Advertising Platforms, Content Creators, Software","Advertising, Media and Entertainment, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",11249,,$1M to $10M,Active,Early Stage Venture,2,"$12,000,000.00",USD,11/19/2024,Series A,"$16,250,000.00",USD,3,"Antler, Craft Ventures, Benchmark, AlleyCorp, Protagonist",,,-0.3,-1.1,-0.1,110.00%,Y,8,,
Linx Security,https://www.crunchbase.com/organization/linx-security,1/1/2023,,11-50,The modern Identity Security solution for the modern enterprises,,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10018,,,Active,Early Stage Venture,1,"$33,000,000.00",USD,7/22/2024,Series A,"$33,000,000.00",USD,2,"Index Ventures, Cyberstarts, Cerca Partners, Knollwood Investment Advisory, Assaf Rappaport",,,0.0,6.2,6.9,74.00%,Y,8,,
Cline,https://www.crunchbase.com/organization/cline-4914,11/1/2024,Saoud Rizwan,11-50,Cline is a developer of an open‑source AI coding agent that automates software creation tasks within integrated development environments.,"Artificial Intelligence (AI), Generative AI, Open Source, Software, Software Engineering","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,2,"$27,000,000.00",USD,7/31/2025,Series A,"$32,000,000.00",USD,2,"Emergence Capital, 1984 Ventures, Pace Capital, Essence VC, Jared Friedman",,,-1.6,-4.8,6.8,2700.00%,Y,8,,
PhaseV,https://www.crunchbase.com/organization/phasev,1/1/2023,"Dan Goldstaub, Elad Berkman, Raviv Pryluk",11-50,PhaseV provides AI-driven solutions for efficient clinical development and operations.,"Artificial Intelligence (AI), Clinical Trials, Pharmaceutical, Therapeutics","Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2114,,$1M to $10M,Active,Early Stage Venture,2,"$50,000,000.00",USD,5/13/2025,Series A,"$65,000,000.00",USD,4,"Accel, Insight Partners, Viola Ventures, LionBird, Exor Ventures",7/1/2025,,-0.3,3.4,-2.1,61.00%,Y,8,,
Mandolin,https://www.crunchbase.com/organization/mandolin-6d50,1/1/2024,,101-250,Mandolin delivers precision automation tools for specialty drug processing workflows.,"Business Process Automation (BPA), Health Care, Medical","Health Care, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94114,,,Active,Early Stage Venture,1,"$40,000,000.00",USD,6/25/2025,Series A,"$40,000,000.00",USD,1,"SV Angel, IQ Capital, SignalFire, Greylock, Maverick Ventures",,,7.9,8.8,7.9,300.00%,Y,8,5,
Xaira Therapeutics,https://www.crunchbase.com/organization/xaira-therapeutics,1/1/2023,"Arvind Rajpal, David Baker, Don Kirkpatrick, Hetu Kamisetty, Joe Watchwell Watson, Marc Tessier-Lavigne",51-100,Xaira Therapeutics is an integrated biotechnology company driving advances in artificial intelligence.,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","South San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",94080,,,Active,Early Stage Venture,1,"$1,000,000,000.00",USD,4/23/2024,Series A,"$1,000,000,000.00",USD,2,"Menlo Ventures, Sequoia Capital, Lightspeed Venture Partners, New Enterprise Associates, Lux Capital",6/11/2025,,-0.2,-2.4,-4.0,41.00%,Y,9,,
Retell AI,https://www.crunchbase.com/organization/retell-ai,11/1/2023,"Bin Wu, Evie Wang, Todd Li, Weijia Yu, Weijia Yu, Zexia Zhang",11-50,Retell AI is the AI voice platform that helps corporate call centers automate calls indistinguishable from human.,"Artificial Intelligence (AI), Audio, Call Center, Generative AI, Telecommunications","Administrative Services, Artificial Intelligence (AI), Data and Analytics, Hardware, Media and Entertainment, Music and Audio, Science and Engineering, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,Women Founded,$1M to $10M,Active,Seed,2,"$4,555,000.00",USD,4/3/2024,Seed,"$4,680,000.00",USD,2,"Y Combinator, Alt Capital, Siqi Chen, Michael Seibel, Carya Venture Partners",,,-0.1,-0.5,-0.3,132.00%,Y,9,,
Bot Auto,https://www.crunchbase.com/organization/bot-auto,7/1/2023,Xiaodi Hou,51-100,Transforming American Transportation with Autonomous Trucks,"Automotive, Autonomous Vehicles, Transportation",Transportation,"Houston, Texas, United States","Greater Houston Area, Southern US",77084,,,Active,Seed,1,"$20,000,000.00",USD,9/26/2024,Seed,"$20,000,000.00",USD,,"Cherubic Ventures, Linear Capital, First Star Ventures, Taihill Venture, M31 Capital",,,-0.2,1.9,0.1,103.00%,Y,9,,
Seaport Entertainment Group,https://www.crunchbase.com/organization/seaport-entertainment-group,1/1/2024,Anton Nikodemus,101-250,Seaport Entertainment Group is a premier entertainment & hospitality company.,"Hospitality, Performing Arts","Media and Entertainment, Travel and Tourism","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",10038,,,Active,IPO,1,"$175,000,000.00",USD,9/23/2024,Post-IPO Equity,"$175,000,000.00",USD,1,Pershing Square Capital Management,9/10/2025,,-0.1,5.9,7.2,13.00%,Y,9,,
StackAI,https://www.crunchbase.com/organization/stack-87fd,1/1/2023,"Antoni Rosinol, Bernardo Aceituno, Melissa Forstell McAneny",51-100,Build and deploy Enterprise-Grade AI Agents.,"Apps, Artificial Intelligence (AI), Developer Platform, Software","Apps, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",2141,,$1M to $10M,Active,,2,"$16,079,967.00",USD,12/16/2024,Undisclosed,"$19,079,967.00",USD,1,"Lambda, Y Combinator, True Capital Management, Gradient, Beat Ventures",,,0.0,-0.6,-1.7,223.00%,Y,9,,
Vatn Systems,https://www.crunchbase.com/organization/vatn-systems,1/1/2023,"Dan H., Geoff Manchester, Nelson Mills",11-50,Vatn Systems builds affordable autonomous underwater vehicles that act in cooperative swarms.,"Information Technology, Internet","Information Technology, Internet Services","Portsmouth, Rhode Island, United States","East Coast, New England, Northeastern US",,,,Active,Seed,1,"$13,000,000.00",USD,11/12/2024,Seed,"$13,000,000.00",USD,1,"Lockheed Martin Ventures, Decisive Point, Blue Collective, IQT, Cubit Capital",,,2.2,-0.5,-1.1,92.00%,Y,9,,
SuperAGI,https://www.crunchbase.com/organization/superagi,5/25/2023,"Ishaan Bhola, Mukunda Srinivasagowda",11-50,"Infrastructure to build, manage & run useful autonomous AI agents","Artificial Intelligence (AI), Software","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Newark, Delaware, United States","Greater Philadelphia Area, East Coast, Southern US",19713,,,Active,Early Stage Venture,1,"$10,000,000.00",USD,3/11/2024,Series A,"$10,000,000.00",USD,1,"Kae Capital, Newlands VC",,,-0.2,-1.0,0.4,131.00%,Y,9,,https://www.linkedin.com/company/superagi/
Cradle,https://www.crunchbase.com/organization/cradle-42d9,1/1/2024,Laura Deming,11-50,Cradle is a cryonics company that develops and proves the feasibility of human organs and whole-body reversible cryopreservation.,"Biotechnology, Life Science","Biotechnology, Science and Engineering","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",,,,Active,Early Stage Venture,1,"$48,000,000.00",USD,6/6/2024,Series A,"$48,000,000.00",USD,,,,,0.7,0.7,4.0,36.00%,Y,9,,
GondolaBio,https://www.crunchbase.com/organization/gondolabio,1/1/2024,,11-50,"GondolaBio researches, develops and manufactures pharmaceutical products.","Manufacturing, Pharmaceutical","Health Care, Manufacturing","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",,,,Active,,1,"$300,000,000.00",USD,8/16/2024,Venture - Series Unknown,"$300,000,000.00",USD,,"Sequoia Capital, Cormorant Asset Management, Frazier Life Sciences, Patient Square Capital, Aisling Capital",,,0.0,-0.3,-0.5,195.00%,Y,9,,
XTI Aerospace,https://www.crunchbase.com/organization/xti-aerospace,3/12/2024,David Brody,11-50,XTI Aerospace specializes in aircraft technology and development of vertical-lift crossover business aircraft.,"Aerospace, Air Transportation, Information Technology, Machinery Manufacturing","Information Technology, Manufacturing, Science and Engineering, Transportation","Englewood, Colorado, United States","Greater Denver Area, Western US",80112,,,Active,IPO,5,"$20,000,000.00",USD,9/12/2025,Post-IPO Equity,"$115,000,000.00",USD,1,FC IMPERIAL,7/14/2025,,-1.0,6.8,-1.7,30.00%,Y,9,,
